freq	eps_real	eps_img
1.319469e+14		
1.320996e+14		
1.323216e+14		
1.324039e+14		
1.327008e+14		
1.327097e+14		
1.330150e+14		
1.333217e+14		
1.334549e+14		
1.336103e+14		
1.336289e+14		
1.339375e+14		
1.342089e+14		
1.342456e+14		
1.345551e+14		
1.348661e+14		
1.349628e+14		
1.351765e+14		
1.354804e+14		
1.354884e+14		
1.357168e+14		
1.358008e+14		
1.361136e+14		
1.363285e+14		
1.364269e+14		
1.364708e+14		
1.367416e+14		
1.370568e+14		
1.372248e+14		
1.373734e+14		
1.376895e+14		
1.379788e+14		
1.380071e+14		
1.382324e+14		
1.383251e+14		
1.386210e+14		
1.386445e+14		
1.387327e+14		
1.389634e+14		
1.392838e+14		
1.394868e+14		
1.396046e+14		
1.399269e+14		
1.399402e+14		
1.402407e+14		
1.402497e+14		
1.405729e+14		
1.408965e+14		
1.409947e+14		
1.412216e+14		
1.415472e+14		
1.415492e+14		
1.416919e+14		
1.417487e+14		
1.418732e+14		
1.422007e+14		
1.425027e+14		
1.425286e+14		
1.428570e+14		
1.431858e+14		
1.432567e+14		
1.433470e+14		
1.435162e+14		
1.438469e+14		
1.438539e+14		
1.440106e+14		
1.441792e+14		
1.445108e+14		
1.447646e+14		
1.448439e+14		
1.451786e+14		
1.451911e+14		
1.455126e+14		
1.455185e+14		
1.455220e+14		
1.458481e+14		
1.461840e+14		
1.462725e+14		
1.465215e+14		
1.467201e+14		
1.468594e+14		
1.470266e+14		
1.471978e+14		
1.475376e+14		
1.477805e+14		
1.478768e+14		
1.478916e+14		
1.482186e+14		
1.485344e+14		
1.485597e+14		
1.487195e+14		
1.489024e+14		
1.492455e+14		
1.492885e+14		
1.495890e+14		
1.499340e+14		
1.499555e+14		
1.500425e+14		
1.502795e+14		
1.505705e+14		
1.506265e+14		
1.507964e+14		
1.509740e+14		
1.513218e+14		
1.515504e+14		
1.516701e+14		
1.520199e+14		
1.520607e+14		
1.523044e+14		
1.523701e+14		
1.527220e+14		
1.528293e+14		
1.530584e+14		
1.530742e+14		
1.534268e+14		
1.534393e+14		
1.537810e+14		
1.538124e+14		
1.540743e+14	3.949500e+00	
1.541344e+14		
1.544906e+14		
1.545664e+14		
1.548460e+14		
1.552030e+14		
1.553204e+14		
1.555616e+14		
1.559193e+14		
1.560744e+14		
1.562787e+14		
1.563767e+14		
1.566251e+14		
1.566397e+14		
1.568283e+14		
1.570011e+14		
1.573629e+14		
1.575823e+14		
1.577250e+14		
1.580888e+14		
1.583363e+14		
1.584529e+14		
1.587463e+14		
1.588187e+14		
1.590903e+14		
1.591849e+14		
1.595513e+14		
1.598443e+14		
1.599195e+14		
1.599745e+14		
1.602881e+14		
1.605982e+14		
1.606569e+14		
1.610275e+14		
1.613522e+14		
1.613998e+14		
1.614582e+14		
1.617710e+14		
1.621061e+14		
1.621439e+14		
1.625186e+14		
1.628602e+14		
1.628922e+14		
1.632675e+14		
1.636141e+14		
1.636445e+14		
1.640219e+14		
1.643681e+14		
1.643995e+14		
1.647789e+14		
1.649779e+14		
1.649923e+14		
1.651220e+14		
1.651586e+14		
1.655387e+14		
1.658760e+14		
1.659204e+14		
1.663040e+14		
1.666300e+14		
1.666863e+14		
1.670704e+14		
1.673841e+14		
1.674563e+14		
1.678425e+14		
1.680691e+14		
1.681381e+14		
1.682290e+14		
1.686173e+14		
1.688921e+14		
1.690058e+14		
1.693946e+14		
1.696460e+14		
1.697852e+14		
1.700691e+14		
1.701776e+14		
1.703999e+14		
1.705688e+14		
1.709633e+14		
1.711539e+14		
1.713565e+14		
1.717515e+14		
1.717923e+14		
1.719080e+14		
1.721484e+14		
1.725439e+14		
1.726619e+14		
1.729428e+14		
1.733404e+14		
1.734158e+14		
1.737398e+14		
1.741411e+14		
1.741699e+14		
1.745426e+14		
1.749239e+14		
1.749444e+14		
1.753480e+14		
1.755909e+14		
1.756779e+14		
1.757518e+14		
1.761575e+14		
1.761855e+14		
1.764319e+14		
1.765634e+14		
1.769712e+14		
1.771858e+14		
1.773792e+14		
1.777874e+14		
1.779398e+14		
1.780625e+14		
1.781975e+14		
1.786078e+14		
1.786938e+14		
1.790200e+14		
1.794324e+14		
1.794478e+14		
1.798467e+14		
1.802018e+14		
1.802612e+14		
1.806759e+14		
1.809557e+14		
1.809829e+14		
1.810925e+14		
1.815110e+14		
1.816829e+14		
1.817098e+14		
1.819280e+14		
1.823486e+14		
1.824637e+14		
1.827676e+14		
1.831904e+14		
1.832176e+14		
1.836115e+14		
1.839717e+14		
1.840346e+14		
1.841014e+14		
1.844596e+14		
1.847257e+14		
1.848848e+14		
1.853119e+14		
1.854797e+14		
1.857374e+14		
1.861666e+14		
1.862336e+14		
1.865960e+14		
1.868146e+14		
1.869875e+14		
1.870255e+14		
1.874570e+14		
1.877416e+14		
1.878887e+14		
1.880267e+14		
1.883223e+14		
1.884956e+14		
1.887562e+14		
1.891914e+14		
1.892495e+14		
1.896274e+14		
1.900036e+14		
1.900645e+14		
1.902390e+14		
1.905027e+14		
1.907576e+14		
1.909419e+14		
1.913820e+14		
1.915115e+14		
1.918233e+14		
1.922655e+14		
1.927088e+14		
1.930194e+14		
1.931336e+14		
1.931529e+14		
1.935982e+14		
1.937734e+14		
1.940445e+14		
1.941328e+14		
1.944917e+14		
1.945275e+14		
1.949401e+14		
1.952814e+14		
1.953895e+14		
1.958399e+14		
